onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	8	3.11005666700657	1	0	0	0	0	0	0	0	0	0	0	0
14	5	1	1	4	3.31832411600044	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	6	1.39187558699632	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	0	1.18512471800204	1	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	4	1.43537574599031	2	0	1	0	1	1	1	1	1	1	0	1
62	5	1	2	6	1.70658876199741	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	1	1.22961497097276	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	7	2.36865067505278	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	3	4.14364252099767	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	6	2.09142635395983	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	4	2.1249887199956	2	0	0	0	0	0	0	0	1	1	0	0
134	5	0	2	8	1.69129468995379	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	1	2.42144762497628	2	0	1	1	1	1	1	1	1	1	0	1
158	5	1	1	2	1.10987768502673	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	3	3.2006839409587	1	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	6	1.17601594899315	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	9	2.64093889901415	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	2	1.44354574097088	2	0	1	0	1	0	0	0	0	0	0	0
218	5	0	2	8	1.26170760497916	2	1	0	0	0	0	0	0	0	0	0	1
230	5	1	2	8	n/a	n/a	0	1	1	0	1	1	1	0	1	1	1
