onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	8	2.74977992102504	2	1	0	0	0	0	0	0	0	0	0	0
14	5	1	1	4	3.14438522793353	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	8	3.34619009692688	1	0	0	1	1	0	1	1	1	0	1	1
38	5	0	1	2	3.2415456949966	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	6	3.32265741098672	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	1	2.81293280294631	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	3	2.71790781198069	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	0	2.53471781197004	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	7	n/a	n/a	0	0	0	0	1	0	1	1	0	1	0
110	5	1	2	8	4.16240737598855	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	3	3.76205631508492	1	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	2	3.13107289001346	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	9	1.75778758700471	2	1	1	1	1	1	1	1	1	1	0	1
158	5	1	2	6	2.78959693410434	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	4	3.83179063897114	2	0	0	0	1	1	0	0	1	0	1	0
182	5	0	1	1	2.67284970090259	1	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	2	2.88996278389823	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	8	2.64352550799958	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	2	6	3.85364559991285	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	6	2.70083231199533	2	1	1	1	0	1	1	1	0	1	1	1
